Name,WMC,LCOM,DIT,CBO,RFC,LCAM,LOC,IsBuggy
CFFCharset_2.0.26,16,0.0,0.0,0.0,7.0,0.381,62,0
CFFParser_2.0.26,86,0.0,0.0,14.0,47.0,0.67,808,1
Type1CharString_2.0.26,9,0.867,0.0,3.0,4.0,0.375,220,1
Type2CharString_2.0.26,7,1.125,1.0,1.0,3.0,0.0,198,1
CMapParser_2.0.26,24,1.0,0.0,1.0,11.0,0.583,387,1
PfbParser_2.0.26,15,0.9,0.0,0.0,7.0,0.357,72,1
CmapSubtable_2.0.26,100,0.837,0.0,3.0,34.0,0.395,334,0
GlyfCompositeDescript_2.0.26,40,0.75,1.0,6.0,47.0,0.596,126,1
HorizontalMetricsTable_2.0.26,14,0.375,1.0,3.0,12.0,0.437,45,1
TTFDataStream_2.0.26,24,0.0,0.0,0.0,16.0,0.656,71,0
TTFParser_2.0.26,46,0.667,0.0,21.0,36.0,0.531,128,1
Type1Lexer_2.0.26,71,0.8,0.0,4.0,11.0,0.711,223,1
Type1Parser_2.0.26,96,0.656,0.0,6.0,25.0,0.571,447,1
WindowsFontDirFinder_2.0.26,0,0.0,0.0,0.0,0.0,0.0,63,0
PDFStreamEngine_2.0.26,82,0.844,0.0,32.0,155.0,0.914,382,1
SetTextLeading_2.0.26,0,0.0,1.0,0.0,0.0,0.0,13,1
COSArray_2.0.26,50,0.0,1.0,5.0,31.0,0.72,144,0
COSObject_2.0.26,16,0.867,1.0,2.0,16.0,0.75,49,1
PDFDebugger_2.0.26,18,0.975,0.0,18.0,28.0,0.606,814,1
PagePane_2.0.26,23,0.95,0.0,21.0,44.0,0.417,233,1
StreamPane_2.0.26,10,0.714,0.0,8.0,4.0,0.375,307,0
TreeStatusPane_2.0.26,2,0.0,0.0,2.0,2.0,0.25,47,1
Tree_2.0.26,0,0.0,0.0,0.0,0.0,0.0,173,1
ZoomMenu_2.0.26,15,0.875,1.0,0.0,9.0,0.333,55,0
CreatePushButton_2.0.26,0,0.0,0.0,0.0,0.0,0.0,34,0
IndexPDFFiles_2.0.26,1,0.0,0.0,0.0,1.0,0.0,74,0
AddAnnotations_2.0.26,1,0.0,0.0,0.0,1.0,0.0,209,0
CreateSignature_2.0.26,1,0.0,1.0,0.0,1.0,0.0,78,1
CreateVisibleSignature_2.0.26,3,1.5,1.0,3.0,3.0,0.333,138,1
CreateVisibleSignature2_2.0.26,3,1.0,1.0,1.0,3.0,0.333,241,1
SigUtils_2.0.26,29,0.0,0.0,20.0,45.0,0.643,156,1
CRLVerifier_2.0.26,1,0.0,0.0,1.0,1.0,0.0,137,0
CertificateVerifier_2.0.26,1,0.0,0.0,1.0,1.0,0.0,201,0
OcspHelper_2.0.26,48,0.619,0.0,23.0,29.0,0.729,253,0
AddValidationInformation_2.0.26,52,0.819,0.0,19.0,50.0,0.618,294,1
CertInformationCollector_2.0.26,13,0.917,0.0,14.0,12.0,0.657,171,0
ConnectedInputStream_2.0.26,9,0.0,0.0,0.0,9.0,0.611,34,0
PrintImageLocations_2.0.26,2,0.0,1.0,6.0,4.0,0.0,56,0
ASCIIHexFilter_2.0.26,2,0.0,1.0,1.0,2.0,0.0,37,0
CCITTFaxFilter_2.0.26,5,0.0,1.0,1.0,15.0,0.167,65,1
Predictor_2.0.26,35,0.0,0.0,0.0,5.0,0.333,169,0
